mesec,rata,kamata,glavnica,osiguranje,ukupno,dug
116,260.98,79.64,181.34,81.91,342.89,27122.91
117,260.98,79.11,181.87,81.37,342.35,26941.04
118,260.98,78.58,182.4,80.82,341.8,26758.64
119,260.98,78.05,182.94,80.28,341.26,26575.7
120,260.98,77.51,183.47,79.73,340.71,26392.23
121,260.98,76.98,184.0,79.18,340.16,26208.23
122,260.98,76.44,184.54,78.62,339.61,26023.69
123,260.98,75.9,185.08,78.07,339.05,25838.61
124,260.98,75.36,185.62,77.52,338.5,25652.99
125,260.98,74.82,186.16,76.96,337.94,25466.83
126,260.98,74.28,186.7,76.4,337.38,25280.12
127,260.98,73.73,187.25,75.84,336.82,25092.87
128,260.98,73.19,187.79,75.28,336.26,24905.08
129,260.98,72.64,188.34,74.72,335.7,24716.74
130,260.98,72.09,188.89,74.15,335.13,24527.85
131,260.98,71.54,189.44,73.58,334.57,24338.4
132,260.98,70.99,189.99,73.02,334.0,24148.41
133,260.98,70.43,190.55,72.45,333.43,23957.86
134,260.98,69.88,191.1,71.87,332.86,23766.76
135,260.98,69.32,191.66,71.3,332.28,23575.09
136,260.98,68.76,192.22,70.73,331.71,23382.87
137,260.98,68.2,192.78,70.15,331.13,23190.09
138,260.98,67.64,193.34,69.57,330.55,22996.75
139,260.98,67.07,193.91,68.99,329.97,22802.84
140,260.98,66.51,194.47,68.41,329.39,22608.37
141,260.98,65.94,195.04,67.83,328.81,22413.32
142,260.98,65.37,195.61,67.24,328.22,22217.71
143,260.98,64.8,196.18,66.65,327.64,22021.53
144,260.98,64.23,196.75,66.06,327.05,21824.78
145,260.98,63.66,197.33,65.47,326.46,21627.46
146,260.98,63.08,197.9,64.88,325.86,21429.55
147,260.98,62.5,198.48,64.29,325.27,21231.08
148,260.98,61.92,199.06,63.69,324.68,21032.02
149,260.98,61.34,199.64,63.1,324.08,20832.38
150,260.98,60.76,200.22,62.5,323.48,20632.16
151,260.98,60.18,200.8,61.9,322.88,20431.35
152,260.98,59.59,201.39,61.29,322.28,20229.96
153,260.98,59.0,201.98,60.69,321.67,20027.98
154,260.98,58.41,202.57,60.08,321.07,19825.42
155,260.98,57.82,203.16,59.48,320.46,19622.26
156,260.98,57.23,203.75,58.87,319.85,19418.51
157,260.98,56.64,204.34,58.26,319.24,19214.17
158,260.98,56.04,204.94,57.64,318.62,19009.22
159,260.98,55.44,205.54,57.03,318.01,18803.69
160,260.98,54.84,206.14,56.41,317.39,18597.55
161,260.98,54.24,206.74,55.79,316.77,18390.81
162,260.98,53.64,207.34,55.17,316.15,18183.47
163,260.98,53.04,207.95,54.55,315.53,17975.52
164,260.98,52.43,208.55,53.93,314.91,17766.97
165,260.98,51.82,209.16,53.3,314.28,17557.81
166,260.98,51.21,209.77,52.67,313.66,17348.03
167,260.98,50.6,210.38,52.04,313.03,17137.65
168,260.98,49.98,211.0,51.41,312.39,16926.65
169,260.98,49.37,211.61,50.78,311.76,16715.04
170,260.98,48.75,212.23,50.15,311.13,16502.81
171,260.98,48.13,212.85,49.51,310.49,16289.96
172,260.98,47.51,213.47,48.87,309.85,16076.49
173,260.98,46.89,214.09,48.23,309.21,15862.4
174,260.98,46.27,214.72,47.59,308.57,15647.69
175,260.98,45.64,215.34,46.94,307.92,15432.34
176,260.98,45.01,215.97,46.3,307.28,15216.37
177,260.98,44.38,216.6,45.65,306.63,14999.77
178,260.98,43.75,217.23,45.0,305.98,14782.54
179,260.98,43.12,217.87,44.35,305.33,14564.67
180,260.98,42.48,218.5,43.69,304.68,14346.17
181,260.98,41.84,219.14,43.04,304.02,14127.03
182,260.98,41.2,219.78,42.38,303.36,13907.25
183,260.98,40.56,220.42,41.72,302.7,13686.83
184,260.98,39.92,221.06,41.06,302.04,13465.77
185,260.98,39.28,221.71,40.4,301.38,13244.07
186,260.98,38.63,222.35,39.73,300.71,13021.71
187,260.98,37.98,223.0,39.07,300.05,12798.71
188,260.98,37.33,223.65,38.4,299.38,12575.06
189,260.98,36.68,224.3,37.73,298.71,12350.75
190,260.98,36.02,224.96,37.05,298.03,12125.79
191,260.98,35.37,225.61,36.38,297.36,11900.18
192,260.98,34.71,226.27,35.7,296.68,11673.91
193,260.98,34.05,226.93,35.02,296.0,11446.97
194,260.98,33.39,227.59,34.34,295.32,11219.38
195,260.98,32.72,228.26,33.66,294.64,10991.12
196,260.98,32.06,228.92,32.97,293.96,10762.2
197,260.98,31.39,229.59,32.29,293.27,10532.6
198,260.98,30.72,230.26,31.6,292.58,10302.34
199,260.98,30.05,230.93,30.91,291.89,10071.41
200,260.98,29.37,231.61,30.21,291.2,9839.8
201,260.98,28.7,232.28,29.52,290.5,9607.52
202,260.98,28.02,232.96,28.82,289.8,9374.56
203,260.98,27.34,233.64,28.12,289.11,9140.92
204,260.98,26.66,234.32,27.42,288.4,8906.6
205,260.98,25.98,235.0,26.72,287.7,8671.59
206,260.98,25.29,235.69,26.01,287.0,8435.9
207,260.98,24.6,236.38,25.31,286.29,8199.53
208,260.98,23.92,237.07,24.6,285.58,7962.46
209,260.98,23.22,237.76,23.89,284.87,7724.7
210,260.98,22.53,238.45,23.17,284.16,7486.25
211,260.98,21.83,239.15,22.46,283.44,7247.1
212,260.98,21.14,239.84,21.74,282.72,7007.26
213,260.98,20.44,240.54,21.02,282.0,6766.72
214,260.98,19.74,241.25,20.3,281.28,6525.47
215,260.98,19.03,241.95,19.58,280.56,6283.52
216,260.98,18.33,242.65,18.85,279.83,6040.87
217,260.98,17.62,243.36,18.12,279.1,5797.5
218,260.98,16.91,244.07,17.39,278.37,5553.43
219,260.98,16.2,244.78,16.66,277.64,5308.65
220,260.98,15.48,245.5,15.93,276.91,5063.15
221,260.98,14.77,246.21,15.19,276.17,4816.93
222,260.98,14.05,246.93,14.45,275.43,4570.0
223,260.98,13.33,247.65,13.71,274.69,4322.35
224,260.98,12.61,248.38,12.97,273.95,4073.97
225,260.98,11.88,249.1,12.22,273.2,3824.87
226,260.98,11.16,249.83,11.47,272.46,3575.05
227,260.98,10.43,250.55,10.73,271.71,3324.49
228,260.98,9.7,251.29,9.97,270.96,3073.21
229,260.98,8.96,252.02,9.22,270.2,2821.19
230,260.98,8.23,252.75,8.46,269.45,2568.44
231,260.98,7.49,253.49,7.71,268.69,2314.95
232,260.98,6.75,254.23,6.94,267.93,2060.72
233,260.98,6.01,254.97,6.18,267.16,1805.74
234,260.98,5.27,255.72,5.42,266.4,1550.03
235,260.98,4.52,256.46,4.65,265.63,1293.57
236,260.98,3.77,257.21,3.88,264.86,1036.36
237,260.98,3.02,257.96,3.11,264.09,778.4
238,260.98,2.27,258.71,2.34,263.32,519.69
239,260.98,1.52,259.47,1.56,262.54,260.22
240,260.98,0.76,260.22,0.78,261.76,0.0
