mesec,rata,kamata,glavnica,osiguranje,ukupno,dug
41,300.37,159.51,140.86,164.07,464.44,54548.12
42,300.37,159.1,141.28,163.64,464.02,54406.84
43,300.37,158.69,141.69,163.22,463.59,54265.15
44,300.37,158.27,142.1,162.8,463.17,54123.05
45,300.37,157.86,142.52,162.37,462.74,53980.54
46,300.37,157.44,142.93,161.94,462.32,53837.61
47,300.37,157.03,143.35,161.51,461.89,53694.26
48,300.37,156.61,143.77,161.08,461.46,53550.49
49,300.37,156.19,144.19,160.65,461.03,53406.31
50,300.37,155.77,144.61,160.22,460.59,53261.7
51,300.37,155.35,145.03,159.79,460.16,53116.67
52,300.37,154.92,145.45,159.35,459.72,52971.22
53,300.37,154.5,145.87,158.91,459.29,52825.35
54,300.37,154.07,146.3,158.48,458.85,52679.05
55,300.37,153.65,146.73,158.04,458.41,52532.32
56,300.37,153.22,147.15,157.6,457.97,52385.17
57,300.37,152.79,147.58,157.16,457.53,52237.58
58,300.37,152.36,148.01,156.71,457.09,52089.57
59,300.37,151.93,148.45,156.27,456.64,51941.12
60,300.37,151.49,148.88,155.82,456.2,51792.24
61,300.37,151.06,149.31,155.38,455.75,51642.93
62,300.37,150.63,149.75,154.93,455.3,51493.18
63,300.37,150.19,150.19,154.48,454.85,51342.99
64,300.37,149.75,150.62,154.03,454.4,51192.37
65,300.37,149.31,151.06,153.58,453.95,51041.31
66,300.37,148.87,151.5,153.12,453.5,50889.8
67,300.37,148.43,151.95,152.67,453.04,50737.86
68,300.37,147.99,152.39,152.21,452.59,50585.47
69,300.37,147.54,152.83,151.76,452.13,50432.64
70,300.37,147.1,153.28,151.3,451.67,50279.36
71,300.37,146.65,153.73,150.84,451.21,50125.63
72,300.37,146.2,154.17,150.38,450.75,49971.46
73,300.37,145.75,154.62,149.91,450.29,49816.83
74,300.37,145.3,155.08,149.45,449.82,49661.76
75,300.37,144.85,155.53,148.99,449.36,49506.23
76,300.37,144.39,155.98,148.52,448.89,49350.25
77,300.37,143.94,156.44,148.05,448.42,49193.81
78,300.37,143.48,156.89,147.58,447.96,49036.92
79,300.37,143.02,157.35,147.11,447.48,48879.57
80,300.37,142.57,157.81,146.64,447.01,48721.76
81,300.37,142.11,158.27,146.17,446.54,48563.49
82,300.37,141.64,158.73,145.69,446.06,48404.76
83,300.37,141.18,159.19,145.21,445.59,48245.57
84,300.37,140.72,159.66,144.74,445.11,48085.91
85,300.37,140.25,160.12,144.26,444.63,47925.79
86,300.37,139.78,160.59,143.78,444.15,47765.2
87,300.37,139.32,161.06,143.3,443.67,47604.14
88,300.37,138.85,161.53,142.81,443.19,47442.61
89,300.37,138.37,162.0,142.33,442.7,47280.61
90,300.37,137.9,162.47,141.84,442.22,47118.14
91,300.37,137.43,162.95,141.35,441.73,46955.19
92,300.37,136.95,163.42,140.87,441.24,46791.77
93,300.37,136.48,163.9,140.38,440.75,46627.87
94,300.37,136.0,164.38,139.88,440.26,46463.5
95,300.37,135.52,164.86,139.39,439.76,46298.64
96,300.37,135.04,165.34,138.9,439.27,46133.3
97,300.37,134.56,165.82,138.4,438.77,45967.48
98,300.37,134.07,166.3,137.9,438.28,45801.18
99,300.37,133.59,166.79,137.4,437.78,45634.4
100,300.37,133.1,167.27,136.9,437.28,45467.12
101,300.37,132.61,167.76,136.4,436.78,45299.36
102,300.37,132.12,168.25,135.9,436.27,45131.11
103,300.37,131.63,168.74,135.39,435.77,44962.37
104,300.37,131.14,169.23,134.89,435.26,44793.13
105,300.37,130.65,169.73,134.38,434.75,44623.41
106,300.37,130.15,170.22,133.87,434.24,44453.18
107,300.37,129.66,170.72,133.36,433.73,44282.46
108,300.37,129.16,171.22,132.85,433.22,44111.25
109,300.37,128.66,171.72,132.33,432.71,43939.53
110,300.37,128.16,172.22,131.82,432.19,43767.31
111,300.37,127.65,172.72,131.3,431.68,43594.59
112,300.37,127.15,173.22,130.78,431.16,43421.37
113,300.37,126.65,173.73,130.26,430.64,43247.64
114,300.37,126.14,174.24,129.74,430.12,43073.41
115,300.37,125.63,174.74,129.22,429.59,42898.66
116,300.37,125.12,175.25,128.7,429.07,42723.41
117,300.37,124.61,175.76,128.17,428.54,42547.65
118,300.37,124.1,176.28,127.64,428.02,42371.37
119,300.37,123.58,176.79,127.11,427.49,42194.58
120,300.37,123.07,177.31,126.58,426.96,42017.27
121,300.37,122.55,177.82,126.05,426.43,41839.45
122,300.37,122.03,178.34,125.52,425.89,41661.11
123,300.37,121.51,178.86,124.98,425.36,41482.24
124,300.37,120.99,179.38,124.45,424.82,41302.86
125,300.37,120.47,179.91,123.91,424.28,41122.95
126,300.37,119.94,180.43,123.37,423.74,40942.52
127,300.37,119.42,180.96,122.83,423.2,40761.56
128,300.37,118.89,181.49,122.28,422.66,40580.07
129,300.37,118.36,182.02,121.74,422.11,40398.06
130,300.37,117.83,182.55,121.19,421.57,40215.51
131,300.37,117.3,183.08,120.65,421.02,40032.43
132,300.37,116.76,183.61,120.1,420.47,39848.82
133,300.37,116.23,184.15,119.55,419.92,39664.67
134,300.37,115.69,184.69,118.99,419.37,39479.99
135,300.37,115.15,185.22,118.44,418.81,39294.76
136,300.37,114.61,185.76,117.88,418.26,39109.0
137,300.37,114.07,186.31,117.33,417.7,38922.69
138,300.37,113.52,186.85,116.77,417.14,38735.84
139,300.37,112.98,187.39,116.21,416.58,38548.45
140,300.37,112.43,187.94,115.65,416.02,38360.51
141,300.37,111.88,188.49,115.08,415.46,38172.02
142,300.37,111.34,189.04,114.52,414.89,37982.98
143,300.37,110.78,189.59,113.95,414.32,37793.39
144,300.37,110.23,190.14,113.38,413.75,37603.24
145,300.37,109.68,190.7,112.81,413.18,37412.55
146,300.37,109.12,191.25,112.24,412.61,37221.29
147,300.37,108.56,191.81,111.66,412.04,37029.48
148,300.37,108.0,192.37,111.09,411.46,36837.11
149,300.37,107.44,192.93,110.51,410.89,36644.18
150,300.37,106.88,193.5,109.93,410.31,36450.68
151,300.37,106.31,194.06,109.35,409.73,36256.62
152,300.37,105.75,194.63,108.77,409.14,36062.0
153,300.37,105.18,195.19,108.19,408.56,35866.8
154,300.37,104.61,195.76,107.6,407.97,35671.04
155,300.37,104.04,196.33,107.01,407.39,35474.71
156,300.37,103.47,196.91,106.42,406.8,35277.8
157,300.37,102.89,197.48,105.83,406.21,35080.32
158,300.37,102.32,198.06,105.24,405.62,34882.26
159,300.37,101.74,198.63,104.65,405.02,34683.63
160,300.37,101.16,199.21,104.05,404.43,34484.41
161,300.37,100.58,199.79,103.45,403.83,34284.62
162,300.37,100.0,200.38,102.85,403.23,34084.24
163,300.37,99.41,200.96,102.25,402.63,33883.28
164,300.37,98.83,201.55,101.65,402.02,33681.73
165,300.37,98.24,202.14,101.05,401.42,33479.6
166,300.37,97.65,202.73,100.44,400.81,33276.87
167,300.37,97.06,203.32,99.83,400.2,33073.56
168,300.37,96.46,203.91,99.22,399.59,32869.65
169,300.37,95.87,204.5,98.61,398.98,32665.14
170,300.37,95.27,205.1,98.0,398.37,32460.04
171,300.37,94.68,205.7,97.38,397.75,32254.34
172,300.37,94.08,206.3,96.76,397.14,32048.04
173,300.37,93.47,206.9,96.14,396.52,31841.14
174,300.37,92.87,207.5,95.52,395.9,31633.64
175,300.37,92.26,208.11,94.9,395.28,31425.53
176,300.37,91.66,208.72,94.28,394.65,31216.81
177,300.37,91.05,209.33,93.65,394.02,31007.49
178,300.37,90.44,209.94,93.02,393.4,30797.55
179,300.37,89.83,210.55,92.39,392.77,30587.0
180,300.37,89.21,211.16,91.76,392.14,30375.84
181,300.37,88.6,211.78,91.13,391.5,30164.06
182,300.37,87.98,212.4,90.49,390.87,29951.67
183,300.37,87.36,213.02,89.86,390.23,29738.65
184,300.37,86.74,213.64,89.22,389.59,29525.02
185,300.37,86.11,214.26,88.58,388.95,29310.76
186,300.37,85.49,214.88,87.93,388.31,29095.87
187,300.37,84.86,215.51,87.29,387.66,28880.36
188,300.37,84.23,216.14,86.64,387.02,28664.22
189,300.37,83.6,216.77,85.99,386.37,28447.45
190,300.37,82.97,217.4,85.34,385.72,28230.05
191,300.37,82.34,218.04,84.69,385.06,28012.01
192,300.37,81.7,218.67,84.04,384.41,27793.34
193,300.37,81.06,219.31,83.38,383.75,27574.03
194,300.37,80.42,219.95,82.72,383.1,27354.08
195,300.37,79.78,220.59,82.06,382.44,27133.49
196,300.37,79.14,221.23,81.4,381.77,26912.25
197,300.37,78.49,221.88,80.74,381.11,26690.37
198,300.37,77.85,222.53,80.07,380.45,26467.85
199,300.37,77.2,223.18,79.4,379.78,26244.67
200,300.37,76.55,223.83,78.73,379.11,26020.84
201,300.37,75.89,224.48,78.06,378.44,25796.36
202,300.37,75.24,225.13,77.39,377.76,25571.23
203,300.37,74.58,225.79,76.71,377.09,25345.44
204,300.37,73.92,226.45,76.04,376.41,25118.99
205,300.37,73.26,227.11,75.36,375.73,24891.88
206,300.37,72.6,227.77,74.68,375.05,24664.1
207,300.37,71.94,228.44,73.99,374.37,24435.67
208,300.37,71.27,229.1,73.31,373.68,24206.56
209,300.37,70.6,229.77,72.62,372.99,23976.79
210,300.37,69.93,230.44,71.93,372.3,23746.35
211,300.37,69.26,231.11,71.24,371.61,23515.24
212,300.37,68.59,231.79,70.55,370.92,23283.45
213,300.37,67.91,232.46,69.85,370.22,23050.98
214,300.37,67.23,233.14,69.15,369.53,22817.84
215,300.37,66.55,233.82,68.45,368.83,22584.02
216,300.37,65.87,234.5,67.75,368.13,22349.51
217,300.37,65.19,235.19,67.05,367.42,22114.33
218,300.37,64.5,235.87,66.34,366.72,21878.45
219,300.37,63.81,236.56,65.64,366.01,21641.89
220,300.37,63.12,237.25,64.93,365.3,21404.64
221,300.37,62.43,237.94,64.21,364.59,21166.69
222,300.37,61.74,238.64,63.5,363.87,20928.06
223,300.37,61.04,239.33,62.78,363.16,20688.72
224,300.37,60.34,240.03,62.07,362.44,20448.69
225,300.37,59.64,240.73,61.35,361.72,20207.96
226,300.37,58.94,241.43,60.62,361.0,19966.52
227,300.37,58.24,242.14,59.9,360.27,19724.39
228,300.37,57.53,242.84,59.17,359.55,19481.54
229,300.37,56.82,243.55,58.44,358.82,19237.99
230,300.37,56.11,244.26,57.71,358.09,18993.73
231,300.37,55.4,244.98,56.98,357.36,18748.75
232,300.37,54.68,245.69,56.25,356.62,18503.06
233,300.37,53.97,246.41,55.51,355.88,18256.65
234,300.37,53.25,247.13,54.77,355.14,18009.53
235,300.37,52.53,247.85,54.03,354.4,17761.68
236,300.37,51.8,248.57,53.29,353.66,17513.11
237,300.37,51.08,249.29,52.54,352.91,17263.82
238,300.37,50.35,250.02,51.79,352.17,17013.8
239,300.37,49.62,250.75,51.04,351.42,16763.04
240,300.37,48.89,251.48,50.29,350.66,16511.56
241,300.37,48.16,252.22,49.53,349.91,16259.35
242,300.37,47.42,252.95,48.78,349.15,16006.4
243,300.37,46.69,253.69,48.02,348.39,15752.71
244,300.37,45.95,254.43,47.26,347.63,15498.28
245,300.37,45.2,255.17,46.49,346.87,15243.11
246,300.37,44.46,255.92,45.73,346.1,14987.19
247,300.37,43.71,256.66,44.96,345.34,14730.53
248,300.37,42.96,257.41,44.19,344.57,14473.12
249,300.37,42.21,258.16,43.42,343.79,14214.96
250,300.37,41.46,258.91,42.64,343.02,13956.05
251,300.37,40.71,259.67,41.87,342.24,13696.38
252,300.37,39.95,260.43,41.09,341.46,13435.95
253,300.37,39.19,261.19,40.31,340.68,13174.77
254,300.37,38.43,261.95,39.52,339.9,12912.82
255,300.37,37.66,262.71,38.74,339.11,12650.11
256,300.37,36.9,263.48,37.95,338.32,12386.63
257,300.37,36.13,264.25,37.16,337.53,12122.38
258,300.37,35.36,265.02,36.37,336.74,11857.36
259,300.37,34.58,265.79,35.57,335.95,11591.57
260,300.37,33.81,266.57,34.77,335.15,11325.01
261,300.37,33.03,267.34,33.98,334.35,11057.67
262,300.37,32.25,268.12,33.17,333.55,10789.54
263,300.37,31.47,268.9,32.37,332.74,10520.64
264,300.37,30.69,269.69,31.56,331.94,10250.95
265,300.37,29.9,270.48,30.75,331.13,9980.47
266,300.37,29.11,271.26,29.94,330.32,9709.21
267,300.37,28.32,272.06,29.13,329.5,9437.15
268,300.37,27.53,272.85,28.31,328.69,9164.3
269,300.37,26.73,273.64,27.49,327.87,8890.66
270,300.37,25.93,274.44,26.67,327.05,8616.22
271,300.37,25.13,275.24,25.85,326.22,8340.97
272,300.37,24.33,276.05,25.02,325.4,8064.93
273,300.37,23.52,276.85,24.19,324.57,7788.08
274,300.37,22.72,277.66,23.36,323.74,7510.42
275,300.37,21.91,278.47,22.53,322.91,7231.95
276,300.37,21.09,279.28,21.7,322.07,6952.67
277,300.37,20.28,280.1,20.86,321.23,6672.57
278,300.37,19.46,280.91,20.02,320.39,6391.66
279,300.37,18.64,281.73,19.17,319.55,6109.93
280,300.37,17.82,282.55,18.33,318.7,5827.37
281,300.37,17.0,283.38,17.48,317.86,5544.0
282,300.37,16.17,284.2,16.63,317.01,5259.79
283,300.37,15.34,285.03,15.78,316.15,4974.76
284,300.37,14.51,285.86,14.92,315.3,4688.89
285,300.37,13.68,286.7,14.07,314.44,4402.2
286,300.37,12.84,287.53,13.21,313.58,4114.66
287,300.37,12.0,288.37,12.34,312.72,3826.29
288,300.37,11.16,289.21,11.48,311.85,3537.07
289,300.37,10.32,290.06,10.61,310.99,3247.02
290,300.37,9.47,290.9,9.74,310.12,2956.11
291,300.37,8.62,291.75,8.87,309.24,2664.36
292,300.37,7.77,292.6,7.99,308.37,2371.76
293,300.37,6.92,293.46,7.12,307.49,2078.3
294,300.37,6.06,294.31,6.23,306.61,1783.99
295,300.37,5.2,295.17,5.35,305.73,1488.82
296,300.37,4.34,296.03,4.47,304.84,1192.79
297,300.37,3.48,296.9,3.58,303.95,895.89
298,300.37,2.61,297.76,2.69,303.06,598.13
299,300.37,1.74,298.63,1.79,302.17,299.5
300,300.37,0.87,299.5,0.9,301.27,0.0
